Time,F-Scale,Location,County,State,Lat,Lon,Comments
1202,UNK,7 E HESTAND,MONROE,KY,36.67,-85.5,TWO LARGE BARNS AND SEVERAL OUTBUILDINGS WERE DESTROYED. HUNDREDS OF HARDWOOD TREES WERE SNAPPED AND UPROOTED...WITH A FEW TREES LANDING ON HOUSES CAUSING ROOF DAMAGE. (LMK)
1240,UNK,1 NW TRENTON,DADE,GA,34.88,-85.52,NWS STORM SURVEY DETERMINED THAT AN EF1 TORNADO TOUCHED DOWN AROUND 840 AM EDT. THE PATH LENGTH WAS 7 MILES WITH A WIDTH OF 50 YARDS. MINOR DAMAGE WAS SUSTAINED TO SEVE (FFC)
1245,UNK,21 SSW JAMESTOWN,FENTRESS,TN,36.15,-85.08,SURVEY TEAM REPORTS AN EF0 TORNADO ABOUT 1 MILE NORTH OF THE PUTNAM-FENTRESS COUNTY LINE NEAR HIGHWAY 62. (OHX)
1247,UNK,5 NW CROSSVILLE,CUMBERLAND,TN,36,-85.1,EF-0 TORNADO WITH MAXIMUM WINDS 70 TO 80 MPH TOUCHED DOWN NEAR THE INTERSECTION OF POMONA RD AND HWY 70. DAMAGE CONTINUED NORTHEAST APPROXIMATELY 4.5 MILES TO NEAR THE (OHX)
1255,UNK,LOOKOUT MOUNTAIN,HAMILTON,TN,35.01,-85.35,EF2. PATH LENGTH OF 1.5 MILES. PATH WIDTH OF 500 YARDS. MAX WIND OF 110 MPH. (MRX)
1304,UNK,LOOKOUT MOUNTAIN,HAMILTON,TN,35.01,-85.35,POSSIBLE TORNADO NEAR LOOKOUT MOUNTAIN. DAMAGE IN LOOKOUT MOUNTAIN...LOOKOUT VALLEY AND ST ELMO. SEVERAL TREES AND POWER LINES DOWN SOME HOMES AND BUSINESS DAMAGED. (MRX)
1304,UNK,RED BANK,HAMILTON,TN,35.11,-85.29,EF1 TORNADO TOUCHDOWN ALONG ASHLAND TERRACE ROAD. PATH LENGTH OF 2 MILES. PATH WIDTH OF 250 YARDS. MAX WINDS 90 MPH. (MRX)
1308,UNK,1 W HARRISON,HAMILTON,TN,35.13,-85.16,EF1. PATGH LENGTH OF 0.5 MILES. PATH WIDTH OF 100 YARDS. MAX WIND OF 70 MPH. ALONG NORTH HICKORY VALLEY RD. (MRX)
1345,UNK,5 NNW CLEVELAND,BRADLEY,TN,35.24,-84.9,*** 1 INJ *** EF2 TORNADO TOUCHDOWN ON MT ZION RD. 3 MOBILE HOMES DESTROYED. 2 MILE PATH LENGTH. PATH WIDTH FROM 200 TO 300 YARDS WIDE. MAX WINDS 120 MPH. (MRX)
1345,UNK,5 SE BIRCHWOOD,MEIGS,TN,35.31,-84.93,EMA REPORTED POSSIBLE TORNADO TOUCHDOWN ON MT ZION RD NEAR GEORGETOWN...SEVERL HOMES DAMAGED SOME POTENTIALLY DESTROYED. (MRX)
